started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:28:02.398000+00:00,2023-12-01 06:31:29.106000+00:00,206,1887,Puddefjordsbroen,ved Bredalsmarken 15,60.38591618700343,5.319206933440256,132,Nøstetorget,Sukkerhusbryggen,60.3921816648884,5.315016280520865
2023-12-01 06:28:15.867000+00:00,2023-12-01 06:36:02.157000+00:00,466,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2023-12-01 06:29:51.495000+00:00,2023-12-01 06:43:38.100000+00:00,826,33,Høgskulen på Vestlandet,Ved hovedinngang til skolen,60.369179844976586,5.349443793165847,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2023-12-01 06:30:12.201000+00:00,2023-12-01 06:34:16.782000+00:00,244,1892,Neumanns gate II,Nær Neumanns gate 25,60.39097915423838,5.320656172070585,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2023-12-01 06:30:43.684000+00:00,2023-12-01 06:37:28.772000+00:00,405,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787
2023-12-01 06:30:50.079000+00:00,2023-12-01 06:36:44.705000+00:00,354,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2023-12-01 06:31:11.806000+00:00,2023-12-01 06:40:23.599000+00:00,551,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2023-12-01 06:32:05.689000+00:00,2023-12-01 06:37:40.140000+00:00,334,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396224461626154,5.315384703788823
2023-12-01 06:32:34.992000+00:00,2023-12-01 06:39:28.366000+00:00,413,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787
2023-12-01 06:32:51.597000+00:00,2023-12-01 06:37:51.194000+00:00,299,788,Danmarksplass,Ved bybanestopp,60.376082994809856,5.339851409058042,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275
2023-12-01 06:33:39.236000+00:00,2023-12-01 06:47:21.753000+00:00,822,5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
2023-12-01 06:33:40.619000+00:00,2023-12-01 06:43:54.249000+00:00,613,1816,Hansaparken,I gangtunell ved butikk,60.38604412210008,5.349253890141261,2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787
2023-12-01 06:34:22.711000+00:00,2023-12-01 06:42:11.771000+00:00,469,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2023-12-01 06:34:32.767000+00:00,2023-12-01 06:43:06.580000+00:00,513,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.38785633733042,5.334459219764085,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
2023-12-01 06:34:48.037000+00:00,2023-12-01 06:40:43.507000+00:00,355,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396224461626154,5.315384703788823,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562
